id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
1,DL,2344,LAS,CVG,1,10,215,0
2,CO,269,SFO,IAH,1,15,205,1
3,US,1558,PHX,CLT,1,15,222,1
4,AA,2400,LAX,DFW,1,20,165,0
5,AA,2466,SFO,DFW,1,20,195,1
6,AS,108,ANC,SEA,1,30,202,0
7,CO,1094,LAX,IAH,1,30,181,1
8,DL,1768,LAX,MSP,1,30,220,1
9,DL,2722,PHX,DTW,1,30,228,0
10,DL,2606,SFO,MSP,1,35,216,1
11,AA,2538,LAS,ORD,1,40,200,0
12,DL,1006,LAX,MSY,1,48,220,0
13,CO,223,ANC,SEA,1,49,201,1
14,AA,532,LAS,DFW,1,50,145,0
15,DL,1646,PHX,ATL,1,50,212,0
16,DL,2055,SLC,ATL,1,50,210,1
17,DL,2814,SEA,MSP,1,50,189,0
18,AA,2408,LAX,DFW,1,55,170,0
19,AS,132,ANC,PDX,1,55,215,0
20,US,498,DEN,CLT,1,55,179,0
21,B6,98,DEN,JFK,1,59,213,0
22,CO,1496,LAS,IAH,1,60,162,1
23,DL,1450,LAS,MSP,1,60,186,1
24,CO,507,ONT,IAH,1,75,167,0
25,AS,128,FAI,SEA,1,80,206,0
26,DL,2223,ANC,SLC,1,85,270,1
27,AS,112,ANC,SEA,1,90,200,0
28,DL,1820,LAX,MEM,1,100,216,1
29,HA,17,LAS,HNL,1,100,380,0
30,US,122,ANC,PHX,1,113,327,0
31,AS,114,ANC,SEA,1,150,200,0
32,CO,315,BQN,EWR,1,165,246,0
33,B6,766,BQN,MCO,1,240,169,0
34,B6,750,SJU,MCO,1,259,182,0
35,B6,768,PSE,MCO,1,262,180,0
36,HA,206,HNL,OGG,1,300,36,0
37,OO,4746,BIS,MSP,1,300,85,0
38,OO,6466,IYK,LAX,1,300,53,0
39,US,1011,EWR,CLT,1,300,111,0
40,US,1983,BOS,CLT,1,300,135,0
41,HA,108,HNL,KOA,1,302,41,0
42,OO,7036,MKE,ORD,1,302,44,0
43,9E,3975,GFK,MSP,1,305,68,0
44,HA,102,HNL,ITO,1,305,49,0
45,OH,6338,GSO,ATL,1,315,93,0
46,OO,6505,LMT,SFO,1,315,95,0
47,US,149,SEA,PHX,1,315,166,0
48,US,1640,MCO,CLT,1,315,97,0
49,US,908,TPA,CLT,1,315,96,0
50,HA,106,HNL,OGG,1,317,36,0
51,9E,3854,DLH,MSP,1,320,58,0
52,DL,1276,MSP,ATL,1,320,158,1
53,OO,4651,FAR,MSP,1,320,62,0
54,CO,1585,MFE,IAH,1,325,64,0
55,CO,222,MSY,IAH,1,325,70,0
56,EV,4966,VPS,ATL,1,325,69,0
57,OO,4793,PSC,SLC,1,325,90,1
58,US,1227,BWI,CLT,1,325,83,0
59,XE,2827,MAF,IAH,1,325,85,0
60,OO,4719,LWS,SLC,1,328,87,0
61,9E,3702,RST,MSP,1,330,50,0
62,9E,3775,ALB,DTW,1,330,120,0
63,9E,3886,DSM,ATL,1,330,135,1
64,AA,1711,BOS,MIA,1,330,210,1
65,CO,611,EWR,IAH,1,330,233,1
66,DL,1143,CHS,ATL,1,330,72,0
67,DL,1190,DTW,ATL,1,330,131,0
68,DL,1511,MSN,DTW,1,330,80,0
69,DL,1518,MCO,ATL,1,330,84,0
70,DL,1698,JAX,ATL,1,330,80,0
71,DL,1842,SAT,ATL,1,330,142,0
72,DL,1972,TPA,ATL,1,330,85,0
73,DL,2054,PNS,ATL,1,330,75,0
74,DL,2112,BHM,ATL,1,330,58,0
75,DL,2306,LIT,ATL,1,330,97,0
76,DL,2711,SAV,ATL,1,330,65,0
77,DL,2995,BNA,ATL,1,330,67,0
78,EV,4940,OMA,ATL,1,330,147,0
79,EV,5014,ICT,ATL,1,330,132,0
80,EV,5044,ECP,ATL,1,330,68,0
81,EV,5062,HSV,ATL,1,330,53,0
82,EV,5117,DHN,ATL,1,330,70,1
83,EV,5393,MGM,ATL,1,330,57,0
84,EV,5532,CAE,ATL,1,330,64,0
85,EV,7108,PWM,IAD,1,330,114,0
86,OO,6917,ACV,SMF,1,330,65,0
87,OO,7781,EKO,SLC,1,330,70,0
88,US,1289,BOS,PHL,1,330,84,0
89,US,1420,PHL,CLT,1,330,102,0
90,US,1732,ATL,CLT,1,330,68,0
91,US,347,PDX,PHX,1,330,148,0
92,US,913,RIC,CLT,1,330,72,0
93,XE,2263,BTR,IAH,1,330,72,0
94,XE,3024,HRL,IAH,1,330,70,0
95,YV,2605,MYR,CLT,1,330,62,0
96,HA,103,HNL,LIH,1,331,35,0
97,UA,576,SEA,DEN,1,331,159,1
98,OO,6644,TUS,DEN,1,333,112,0
99,YV,7294,SBN,ORD,1,334,46,0
100,9E,3725,TVC,DTW,1,335,75,1
101,9E,3804,CLE,ATL,1,335,128,0
102,AA,674,ORD,MIA,1,335,185,0
103,B6,728,BQN,JFK,1,335,231,0
104,CO,463,ORD,IAH,1,335,164,0
105,EV,5038,CAK,DTW,1,335,76,0
106,OH,6423,DAY,DTW,1,335,75,1
107,OO,6698,MFR,PDX,1,335,74,0
108,XE,2865,MKE,IAH,1,335,174,0
109,EV,7123,BTV,IAD,1,336,110,0
110,9E,3998,TLH,ATL,1,338,68,0
111,9E,4196,TYS,ATL,1,340,57,0
112,CO,214,DFW,IAH,1,340,59,0
113,DL,2123,BOS,DTW,1,340,144,0
114,DL,2597,RIC,ATL,1,340,109,0
115,DL,2626,FLL,ATL,1,340,118,0
116,DL,684,AUS,ATL,1,340,134,0
117,EV,5583,CHA,ATL,1,340,47,0
118,MQ,4563,CMH,LGA,1,340,100,0
119,XE,2616,LRD,IAH,1,340,66,0
120,XE,3006,BRO,IAH,1,340,70,0
121,XE,3015,CRP,IAH,1,340,59,0
122,XE,5973,LAN,ORD,1,340,71,0
123,9E,3659,ALB,ATL,1,345,183,0
124,9E,3862,SAT,MEM,1,345,119,0
125,9E,3949,PVD,DTW,1,345,135,0
126,9E,4143,FWA,DTW,1,345,59,0
127,AA,1141,JFK,MIA,1,345,190,0
128,AA,1297,DFW,MIA,1,345,160,0
129,AA,2320,DFW,ORD,1,345,140,0
130,CO,1677,PHL,IAH,1,345,219,0
131,CO,1727,BWI,IAH,1,345,208,0
132,CO,240,AUS,IAH,1,345,55,0
133,CO,278,SAT,IAH,1,345,54,0
134,CO,633,LGA,IAH,1,345,235,0
135,DL,1095,OKC,ATL,1,345,127,0
136,DL,1112,PIT,ATL,1,345,131,0
137,DL,1506,LAX,DTW,1,345,270,0
138,DL,2320,PBI,ATL,1,345,113,0
139,DL,2481,ORF,ATL,1,345,120,0
140,DL,2710,DFW,ATL,1,345,134,0
141,DL,2939,DCA,ATL,1,345,120,0
142,EV,5142,AEX,ATL,1,345,119,0
143,EV,5218,SYR,ATL,1,345,158,1
144,EV,5233,BTR,ATL,1,345,97,0
145,EV,5362,SHV,ATL,1,345,123,0
146,EV,5501,VLD,ATL,1,345,62,0
147,FL,557,BUF,ATL,1,345,150,0
148,OH,6264,BDL,CVG,1,345,133,0
149,OH,6549,MFE,MEM,1,345,118,0
150,OO,6407,FAT,SFO,1,345,45,0
151,OO,6523,PHX,LAX,1,345,85,0
152,OO,6647,BZN,DEN,1,345,107,0
153,OO,6964,RDM,PDX,1,345,58,0
154,US,1423,DCA,CLT,1,345,85,1
155,XE,2919,LFT,IAH,1,345,58,0
156,XE,5951,CAK,ORD,1,345,95,0
157,OO,6480,IPL,YUM,1,346,34,0
158,OO,6843,EAU,CWA,1,346,32,0
159,UA,756,SFO,DEN,1,348,158,0
160,OO,3099,OMA,MKE,1,349,81,0
161,9E,3718,ERI,DTW,1,350,65,1
162,B6,107,BUF,JFK,1,350,83,0
163,DL,1248,IAH,ATL,1,350,130,0
164,DL,1985,DAY,ATL,1,350,114,0
165,DL,2387,MKE,ATL,1,350,129,0
166,DL,2405,PHL,DTW,1,350,115,0
167,DL,734,MCI,ATL,1,350,127,0
168,EV,5165,AGS,ATL,1,350,60,0
169,MQ,2734,ABI,DFW,1,350,50,0
170,MQ,2796,GRR,DFW,1,350,175,0
171,MQ,3014,FAT,LAX,1,350,65,0
172,MQ,3332,LBB,DFW,1,350,70,1
173,MQ,3632,CLT,MIA,1,350,120,0
174,MQ,3781,LIT,ORD,1,350,105,0
175,MQ,3842,MSP,ORD,1,350,95,0
176,MQ,3892,PHL,ORD,1,350,140,0
177,MQ,4013,LEX,ORD,1,350,95,0
178,OH,6498,ORD,ATL,1,350,128,1
179,OH,6629,GRR,DTW,1,350,61,0
180,9E,4391,MBS,DTW,1,351,59,0
181,HA,218,HNL,KOA,1,352,41,0
182,OO,6642,MOD,SFO,1,352,38,1
183,9E,3836,OMA,DTW,1,355,145,1
184,9E,3935,EWR,DTW,1,355,130,1
185,9E,3955,LBB,MEM,1,355,119,0
186,9E,4200,TYS,CVG,1,355,64,1
187,9E,4274,AMA,MEM,1,355,120,0
188,B6,735,JFK,BQN,1,355,215,0
189,DL,2356,RDU,DTW,1,355,125,0
190,DL,377,BDL,DTW,1,355,130,0
191,FL,331,PHL,ATL,1,355,140,0
192,HA,202,HNL,ITO,1,355,49,0
193,MQ,2864,SGF,DFW,1,355,90,0
194,OH,6414,AZO,DTW,1,355,58,1
195,OO,7014,RDM,SFO,1,355,101,0
196,9E,3668,TYS,LGA,1,360,131,0
197,9E,3724,ABE,DTW,1,360,115,0
198,9E,3755,SWF,DTW,1,360,120,0
199,9E,3757,BGM,DTW,1,360,103,0
200,9E,3795,SBN,CVG,1,360,60,0
201,9E,3845,AVP,DTW,1,360,105,0
202,9E,3850,FNT,DTW,1,360,48,0
203,9E,3871,BHM,DTW,1,360,125,0
204,9E,3875,GSP,DTW,1,360,115,0
205,9E,3893,FWA,ATL,1,360,115,1
206,9E,3923,IAH,MEM,1,360,95,0
207,9E,3957,ATW,MSP,1,360,76,0
208,9E,3985,DSM,MEM,1,360,100,0
209,9E,4026,ORF,DTW,1,360,125,0
210,9E,4239,ITH,DTW,1,360,97,0
211,9E,4272,ECP,MEM,1,360,90,1
212,9E,4324,DCA,JFK,1,360,82,1
213,AA,1056,TUL,DFW,1,360,70,0
214,AA,1140,SAT,DFW,1,360,65,0
215,AA,1143,TPA,DFW,1,360,170,0
216,AA,1215,DCA,DFW,1,360,210,1
217,AA,1225,COS,DFW,1,360,120,0
218,AA,1406,OMA,DFW,1,360,125,0
219,AA,1584,LAS,DFW,1,360,160,0
220,AA,1596,PDX,DFW,1,360,225,1
221,AA,1602,ELP,DFW,1,360,100,0
222,AA,1615,BDL,DFW,1,360,260,0
223,AA,1631,MSY,MIA,1,360,105,0
224,AA,1670,AUS,ORD,1,360,165,0
225,AA,1755,ABQ,DFW,1,360,105,0
226,AA,1839,OKC,DFW,1,360,60,0
227,AA,1843,BOS,ORD,1,360,175,0
228,AA,1878,SMF,DFW,1,360,205,0
229,AA,1895,LGA,MIA,1,360,190,0
230,AA,1921,EWR,MIA,1,360,185,0
231,AA,1965,STL,DFW,1,360,115,1
232,AA,1994,IAH,MIA,1,360,135,0
233,CO,269,SFO,IAH,2,15,205,1
234,US,1558,PHX,CLT,2,15,222,0
235,AA,2400,LAX,DFW,2,20,165,0
236,AA,2466,SFO,DFW,2,20,195,0
237,AS,108,ANC,SEA,2,30,202,0
238,CO,1094,LAX,IAH,2,30,181,1
239,AA,2538,LAS,ORD,2,40,200,0
240,CO,223,ANC,SEA,2,49,201,0
241,AA,532,LAS,DFW,2,50,145,0
242,DL,1646,PHX,ATL,2,50,210,0
243,DL,2055,SLC,ATL,2,50,210,0
244,AA,2408,LAX,DFW,2,55,170,0
245,AS,132,ANC,PDX,2,55,215,0
246,US,498,DEN,CLT,2,55,179,0
247,B6,98,DEN,JFK,2,59,213,0
248,CO,1496,LAS,IAH,2,60,162,0
249,CO,507,ONT,IAH,2,75,167,0
250,AS,128,FAI,SEA,2,80,206,0
251,DL,2223,ANC,SLC,2,85,270,0
252,AS,112,ANC,SEA,2,90,200,0
253,DL,1820,LAX,MEM,2,100,216,0
254,HA,17,LAS,HNL,2,100,380,1
255,US,122,ANC,PHX,2,113,327,0
256,AS,114,ANC,SEA,2,150,200,0
257,CO,315,BQN,EWR,2,165,246,1
258,B6,766,BQN,MCO,2,240,169,0
259,B6,768,PSE,MCO,2,262,180,0
260,HA,206,HNL,OGG,2,300,36,1
261,OO,4746,BIS,MSP,2,300,85,0
262,OO,6466,IYK,LAX,2,300,53,0
263,US,1011,EWR,CLT,2,300,111,0
264,US,1983,BOS,CLT,2,300,135,0
265,HA,108,HNL,KOA,2,302,41,0
266,9E,3975,GFK,MSP,2,305,68,1
267,HA,102,HNL,ITO,2,305,49,0
268,OH,6338,GSO,ATL,2,315,93,0
269,OO,6505,LMT,SFO,2,315,95,1
270,US,149,SEA,PHX,2,315,166,0
271,US,1640,MCO,CLT,2,315,97,0
272,US,908,TPA,CLT,2,315,96,0
273,HA,106,HNL,OGG,2,317,36,0
274,9E,3854,DLH,MSP,2,320,58,0
275,DL,1276,MSP,ATL,2,320,158,0
276,OO,4651,FAR,MSP,2,320,62,0
277,CO,1585,MFE,IAH,2,325,64,0
278,CO,222,MSY,IAH,2,325,70,0
279,EV,4966,VPS,ATL,2,325,69,1
280,OO,4793,PSC,SLC,2,325,90,0
281,US,1521,BWI,CLT,2,325,83,0
282,XE,2827,MAF,IAH,2,325,85,1
283,OO,4719,LWS,SLC,2,328,87,1
284,9E,3702,RST,MSP,2,330,50,0
285,9E,3775,ALB,DTW,2,330,120,0
286,9E,3886,DSM,ATL,2,330,135,1
287,AA,1711,BOS,MIA,2,330,210,0
288,CO,611,EWR,IAH,2,330,233,0
289,DL,1143,CHS,ATL,2,330,72,0
290,DL,1511,MSN,DTW,2,330,80,0
291,DL,1518,MCO,ATL,2,330,86,0
292,DL,1698,JAX,ATL,2,330,80,0
293,DL,1842,SAT,ATL,2,330,142,0
294,DL,1972,TPA,ATL,2,330,85,0
295,DL,2054,PNS,ATL,2,330,75,0
296,DL,2112,BHM,ATL,2,330,58,0
297,DL,2306,LIT,ATL,2,330,97,0
298,DL,2711,SAV,ATL,2,330,65,0
299,DL,2995,BNA,ATL,2,330,67,0
300,EV,4940,OMA,ATL,2,330,147,0
301,EV,5014,ICT,ATL,2,330,132,0
302,EV,5044,ECP,ATL,2,330,68,0
303,EV,5062,HSV,ATL,2,330,53,0
304,EV,5117,DHN,ATL,2,330,70,0
305,EV,5393,MGM,ATL,2,330,57,0
306,EV,5532,CAE,ATL,2,330,64,0
307,EV,7108,PWM,IAD,2,330,114,0
308,OO,6917,ACV,SMF,2,330,65,0
309,OO,7781,EKO,SLC,2,330,70,0
310,US,1289,BOS,PHL,2,330,84,0
311,US,1420,PHL,CLT,2,330,102,0
312,US,1732,ATL,CLT,2,330,68,0
313,US,347,PDX,PHX,2,330,148,0
